lr-AdamW,step,train_loss_phi,train_loss_psi,train_loss_omega,train_loss_tau,train_loss_CA:C:1N,train_loss_C:1N:1CA,train_loss,epoch,val_loss_phi,val_loss_psi,val_loss_omega,val_loss_tau,val_loss_CA:C:1N,val_loss_C:1N:1CA,val_loss
0.0,0,,,,,,,,,,,,,,,
,199,0.6478697657585144,0.743523895740509,0.7059752345085144,0.7146084904670715,0.7631218433380127,0.7016220688819885,0.7127869129180908,0,,,,,,,
,379,,,,,,,,0,0.6823204159736633,0.7569311857223511,0.7210054993629456,0.7004160284996033,0.7625018358230591,0.7212286591529846,0.723665714263916
5.0000000000000004e-08,380,,,,,,,,,,,,,,,
,399,0.6939747333526611,0.739527702331543,0.7351976037025452,0.6900138854980469,0.7470635175704956,0.6854066252708435,0.7151973247528076,1,,,,,,,
,599,0.6890952587127686,0.7353201508522034,0.6841399073600769,0.7041543126106262,0.7394608855247498,0.6992776989936829,0.7085747122764587,1,,,,,,,
,759,,,,,,,,1,0.6558332443237305,0.7243591547012329,0.6837902069091797,0.6545013189315796,0.7177097797393799,0.6779223680496216,0.6853729486465454
1.0000000000000001e-07,760,,,,,,,,,,,,,,,
,799,0.639786422252655,0.7268728017807007,0.6755539774894714,0.670677661895752,0.7381436824798584,0.6666033864021301,0.6862730383872986,2,,,,,,,
,999,0.5983565449714661,0.6999887824058533,0.6336693167686462,0.5956069231033325,0.6524230241775513,0.6357320547103882,0.6359627842903137,2,,,,,,,
,1139,,,,,,,,2,0.5950412154197693,0.6842808723449707,0.598650336265564,0.5624523758888245,0.6367291808128357,0.5891112685203552,0.6108606457710266
1.5000000000000002e-07,1140,,,,,,,,,,,,,,,
,1199,0.5843163132667542,0.6606083512306213,0.5974230766296387,0.5254542231559753,0.5988520979881287,0.5918230414390564,0.5930795669555664,3,,,,,,,
,1399,0.5830733776092529,0.68091881275177,0.5353866815567017,0.4890482425689697,0.5599853992462158,0.5337719917297363,0.5636974573135376,3,,,,,,,
,1519,,,,,,,,3,0.5316851735115051,0.6521705389022827,0.4885483682155609,0.4414757192134857,0.5111199617385864,0.469526082277298,0.5157750844955444
2.0000000000000002e-07,1520,,,,,,,,,,,,,,,
,1599,0.5302108526229858,0.6519612669944763,0.4797685444355011,0.4522339403629303,0.5152570009231567,0.4748269021511078,0.5173764228820801,4,,,,,,,
,1799,0.4540203809738159,0.6056122183799744,0.36780110001564026,0.3286604881286621,0.37730586528778076,0.34588536620140076,0.41321420669555664,4,,,,,,,
,1899,,,,,,,,4,0.4566246569156647,0.6181167960166931,0.3557073771953583,0.30592161417007446,0.3552212417125702,0.32995644211769104,0.40351149439811707
2.5000000000000004e-07,1900,,,,,,,,,,,,,,,
,1999,0.4417438507080078,0.6068010926246643,0.3533213436603546,0.29537680745124817,0.31040674448013306,0.3131050765514374,0.38679248094558716,5,,,,,,,
